Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
16,50332,6,Eóin,Tennyson,6440,9,8685,,,Alliance Party
16,68951,7,Glenn,Barr,3367,0,0,Excluded,2,Ulster Unionist Party
16,95166,7,Glenn,Beattie,128,0,0,Excluded,1,Heritage Party
16,8150,7,Doug,Beattie,5199,807,9571,Elected,7,Ulster Unionist Party
16,19683,7,Jonathan Glen,Buckley,8869,0,9351,Elected,5,Democratic Unionist Party
16,69799,7,Diane,Dodds,6548,-831,9351,Elected,6,Democratic Unionist Party
16,68992,7,Darrin,Foster,4373,0,0,Excluded,4,Traditional Unionist Voice
16,84887,7,Aidan,Gribbin,571,0,0,Excluded,1,Aontu
16,699,7,Dolores,Kelly,3645,0,0,Excluded,3,Social Democratic and Labour Party
16,84506,7,Lauren,Kendall,459,0,0,Excluded,1,Green Party
16,49877,7,Liam,Mackle,7260,0,8124,,,Sinn Fein
16,3752,7,John,O'Dowd,9242,0,9351,Elected,4,Sinn Fein
16,50332,7,Eóin,Tennyson,6440,12,8697,,,Alliance Party
16,68951,8,Glenn,Barr,3367,0,0,Excluded,2,Ulster Unionist Party
16,95166,8,Glenn,Beattie,128,0,0,Excluded,1,Heritage Party
16,8150,8,Doug,Beattie,5199,-220,9351,Elected,7,Ulster Unionist Party
16,19683,8,Jonathan Glen,Buckley,8869,0,9351,Elected,5,Democratic Unionist Party
16,69799,8,Diane,Dodds,6548,0,9351,Elected,6,Democratic Unionist Party
16,68992,8,Darrin,Foster,4373,0,0,Excluded,4,Traditional Unionist Voice
16,84887,8,Aidan,Gribbin,571,0,0,Excluded,1,Aontu
16,699,8,Dolores,Kelly,3645,0,0,Excluded,3,Social Democratic and Labour Party
16,84506,8,Lauren,Kendall,459,0,0,Excluded,1,Green Party
16,49877,8,Liam,Mackle,7260,464,8588,Excluded,8,Sinn Fein
16,3752,8,John,O'Dowd,9242,0,9351,Elected,4,Sinn Fein
16,50332,8,Eóin,Tennyson,6440,267,8964,Elected,8,Alliance Party
