Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
7,11274,6,Linda,Dillon,8199,0,8615,Elected,2,Sinn Fein
7,49835,6,Meta,Graham,2191,4,2224.6,,,Ulster Unionist Party
7,84457,6,Claire,Hackett,2138,108,2625.2,,,Alliance Party
7,85042,6,Alixandra,Halliday,1305,-1649.2,0,Excluded,5,Aontu
7,95171,6,Patrick,Haughey,877,0,0,Excluded,4,Independent
7,95172,6,Sophia,McFeely,179,0,0,Excluded,3,People Before Profit Alliance
7,11291,6,Patsy,McGlone,5144,397,6580,,,Social Democratic and Labour Party
7,85586,6,Glenn,Moore,3818,13,3868,,,Traditional Unionist Voice
7,11276,6,Michelle,O'Neill,10845,0,8615,Elected,1,Sinn Fein
7,72336,6,Conor,Rafferty,13,0,0,Excluded,3,The Resume Party (NI)
7,7088,6,Hugh,Scullion,107,0,0,Excluded,3,Workers Party
7,84504,6,Emma,Sheerin,8215,0,8615,Elected,2,Sinn Fein
7,10203,6,Stefan,Taylor,137,0,0,Excluded,3,Green Party
7,11273,7,Keith,Buchanan,8521,-80.6,8615,Elected,6,Democratic Unionist Party
7,11274,7,Linda,Dillon,8199,0,8615,Elected,2,Sinn Fein
7,49835,7,Meta,Graham,2191,4.2,2228.8,Excluded,7,Ulster Unionist Party
7,84457,7,Claire,Hackett,2138,38.8,2664,,,Alliance Party
7,85042,7,Alixandra,Halliday,1305,0,0,Excluded,5,Aontu
7,95171,7,Patrick,Haughey,877,0,0,Excluded,4,Independent
7,95172,7,Sophia,McFeely,179,0,0,Excluded,3,People Before Profit Alliance
7,11291,7,Patsy,McGlone,5144,59.8,6639.8,,,Social Democratic and Labour Party
7,85586,7,Glenn,Moore,3818,26,3894,,,Traditional Unionist Voice
7,11276,7,Michelle,O'Neill,10845,0,8615,Elected,1,Sinn Fein
7,72336,7,Conor,Rafferty,13,0,0,Excluded,3,The Resume Party (NI)
7,7088,7,Hugh,Scullion,107,0,0,Excluded,3,Workers Party
7,84504,7,Emma,Sheerin,8215,0,8615,Elected,2,Sinn Fein
7,10203,7,Stefan,Taylor,137,0,0,Excluded,3,Green Party
7,11273,8,Keith,Buchanan,8521,0,8615,Elected,6,Democratic Unionist Party
7,11274,8,Linda,Dillon,8199,0,8615,Elected,2,Sinn Fein
7,49835,8,Meta,Graham,2191,-2228.8,0,Excluded,7,Ulster Unionist Party
7,84457,8,Claire,Hackett,2138,517,3181,Excluded,8,Alliance Party
7,85042,8,Alixandra,Halliday,1305,0,0,Excluded,5,Aontu
