Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
11,8154,6,Alan,Chambers,3825,25.9,4563.8,,,Ulster Unionist Party
11,69368,6,Stephen,Dunne,6226,10.3,6945.3,,,Democratic Unionist Party
11,7178,6,Alex,Easton,9568,0,6958,Elected,1,Independent
11,49889,6,Connie,Egan,5224,551.1,6293.6,,,Alliance Party
11,69189,6,Jennifer,Gilmour,2068,5.3,2364,,,Democratic Unionist Party
11,84463,6,John,Gordon,1574,3.3,2051.4,,,Traditional Unionist Voice
11,84462,6,Naomi,McBurney,1342,25.5,1619.3,Excluded,6,Ulster Unionist Party
11,7235,6,Thérèse,McCartney,687,0,0,Excluded,3,Sinn Fein
11,68690,6,Ray,McKimm,604,0,0,Excluded,4,Independent
11,4588,6,Andrew,Muir,6838,0,6958,Elected,3,Alliance Party
11,19723,6,Matthew,Robinson,254,0,0,Excluded,2,Conservative and Unionist Party
11,84461,6,Déirdre,Vaughan,727,-1109.4,0,Excluded,5,Social Democratic and Labour Party
11,50551,6,Rachel,Woods,2734,362.5,3636.9,,,Green Party
11,19748,7,Chris,Carter,72,0,0,Excluded,2,Independent
11,8154,7,Alan,Chambers,3825,1170.4,5734.2,,,Ulster Unionist Party
11,69368,7,Stephen,Dunne,6226,48,6993.3,Elected,7,Democratic Unionist Party
11,7178,7,Alex,Easton,9568,0,6958,Elected,1,Independent
11,49889,7,Connie,Egan,5224,111.4,6405,,,Alliance Party
11,69189,7,Jennifer,Gilmour,2068,55.4,2419.4,,,Democratic Unionist Party
11,84463,7,John,Gordon,1574,46.8,2098.2,Excluded,7,Traditional Unionist Voice
11,84462,7,Naomi,McBurney,1342,-1619.3,0,Excluded,6,Ulster Unionist Party
11,7235,7,Thérèse,McCartney,687,0,0,Excluded,3,Sinn Fein
11,68690,7,Ray,McKimm,604,0,0,Excluded,4,Independent
11,4588,7,Andrew,Muir,6838,0,6958,Elected,3,Alliance Party
11,19723,7,Matthew,Robinson,254,0,0,Excluded,2,Conservative and Unionist Party
11,84461,7,Déirdre,Vaughan,727,0,0,Excluded,5,Social Democratic and Labour Party
11,50551,7,Rachel,Woods,2734,99.2,3736.1,,,Green Party
11,19748,8,Chris,Carter,72,0,0,Excluded,2,Independent
