Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
18,69263,5,Maolíosa,McHugh,6658,4.2,7571.2,,,Sinn Fein
18,84465,6,Nicola,Brogan,8626,0,7666,Elected,1,Sinn Fein
18,6920,6,Barry,Brown,119,0,0,Excluded,2,Independent
18,1871,6,Thomas,Buchanan,6640,164,7798.3,Elected,6,Democratic Unionist Party
18,70571,6,Trevor,Clarke,4166,180.1,4884.5,,,Traditional Unionist Voice
18,6365,6,Stephen,Donnelly,2967,-3777.4,0,Excluded,5,Alliance Party
18,69331,6,Amy,Ferguson,171,0,0,Excluded,2,Socialist Party (Northern Ireland)
18,84737,6,Carol,Gallagher,354,0,0,Excluded,2,People Before Profit Alliance
18,68896,6,Paul 'Gags',Gallagher,1682,0,0,Excluded,3,Independent
18,68878,6,Susan,Glass,252,0,0,Excluded,2,Green Party
18,72373,6,James,Hope,657,0,0,Excluded,2,Aontu
18,84466,6,Ian,Marshall,1876,0,0,Excluded,4,Ulster Unionist Party
18,11343,6,Declan,McAleer,6343,478.9,7593.8,,,Sinn Fein
18,5185,6,Daniel,McCrossan,5483,1780,8288,Elected,6,Social Democratic and Labour Party
18,69263,6,Maolíosa,McHugh,6658,160,7731.2,Elected,6,Sinn Fein
18,84465,7,Nicola,Brogan,8626,0,7666,Elected,1,Sinn Fein
18,6920,7,Barry,Brown,119,0,0,Excluded,2,Independent
18,1871,7,Thomas,Buchanan,6640,-132.3,7666,Elected,6,Democratic Unionist Party
18,70571,7,Trevor,Clarke,4166,180.1,5064.6,Excluded,7,Traditional Unionist Voice
18,6365,7,Stephen,Donnelly,2967,0,0,Excluded,5,Alliance Party
18,69331,7,Amy,Ferguson,171,0,0,Excluded,2,Socialist Party (Northern Ireland)
18,84737,7,Carol,Gallagher,354,0,0,Excluded,2,People Before Profit Alliance
18,68896,7,Paul 'Gags',Gallagher,1682,0,0,Excluded,3,Independent
18,68878,7,Susan,Glass,252,0,0,Excluded,2,Green Party
18,72373,7,James,Hope,657,0,0,Excluded,2,Aontu
18,84466,7,Ian,Marshall,1876,0,0,Excluded,4,Ulster Unionist Party
18,11343,7,Declan,McAleer,6343,478.9,8072.7,Elected,7,Sinn Fein
18,5185,7,Daniel,McCrossan,5483,-622,7666,Elected,6,Social Democratic and Labour Party
18,69263,7,Maolíosa,McHugh,6658,-65.2,7666,Elected,6,Sinn Fein
