Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
5,7209,8,Gary,Middleton,4101,50.1,4478.3,,,Democratic Unionist Party
5,84452,8,Elizabeth,Neely,499,0,0,Excluded,4,Traditional Unionist Voice
5,49734,8,Brian,Tierney,3273,261,3729.2,,,Social Democratic and Labour Party
5,84453,9,Pádraig,Delargy,9471,0,7811,Elected,1,Sinn Fein
5,49867,9,Emmet,Doyle,2000,-2697.4,0,Excluded,8,Aontu
5,19640,9,Mark H.,Durkan,7999,0,7811,Elected,1,Social Democratic and Labour Party
5,84454,9,Ciara,Ferguson,5913,243,7873.3,Elected,9,Sinn Fein
5,50319,9,Rachael,Ferguson,2220,0,0,Excluded,7,Alliance Party
5,95164,9,Gillian,Hamilton,215,0,0,Excluded,2,Green Party
5,35060,9,Shaun,Harkin,2621,564.7,4010.8,,,People Before Profit Alliance
5,11862,9,Anne,McCloskey,854,0,0,Excluded,6,Independent
5,69196,9,Ryan,McCready,3744,38.6,4282.4,,,Ulster Unionist Party
5,84772,9,Colly,McLaughlin,766,0,0,Excluded,5,Irish Republican Socialist Party
5,49549,9,Sinéad,McLaughlin,2189,175.3,4410.8,,,Social Democratic and Labour Party
5,7209,9,Gary,Middleton,4101,176,4654.3,,,Democratic Unionist Party
5,84452,9,Elizabeth,Neely,499,0,0,Excluded,4,Traditional Unionist Voice
5,49734,9,Brian,Tierney,3273,241.5,3970.7,,,Social Democratic and Labour Party
5,84453,10,Pádraig,Delargy,9471,0,7811,Elected,1,Sinn Fein
5,49867,10,Emmet,Doyle,2000,0,0,Excluded,8,Aontu
5,19640,10,Mark H.,Durkan,7999,0,7811,Elected,1,Social Democratic and Labour Party
5,84454,10,Ciara,Ferguson,5913,-62.3,7811,Elected,9,Sinn Fein
5,50319,10,Rachael,Ferguson,2220,0,0,Excluded,7,Alliance Party
5,95164,10,Gillian,Hamilton,215,0,0,Excluded,2,Green Party
5,35060,10,Shaun,Harkin,2621,22.1,4032.9,,,People Before Profit Alliance
5,11862,10,Anne,McCloskey,854,0,0,Excluded,6,Independent
5,69196,10,Ryan,McCready,3744,0.6,4283,,,Ulster Unionist Party
5,84772,10,Colly,McLaughlin,766,0,0,Excluded,5,Irish Republican Socialist Party
5,49549,10,Sinéad,McLaughlin,2189,21.4,4432.2,,,Social Democratic and Labour Party
5,7209,10,Gary,Middleton,4101,1.4,4655.7,,,Democratic Unionist Party
5,84452,10,Elizabeth,Neely,499,0,0,Excluded,4,Traditional Unionist Voice
5,49734,10,Brian,Tierney,3273,16.4,3987.1,Excluded,10,Social Democratic and Labour Party
5,84453,11,Pádraig,Delargy,9471,0,7811,Elected,1,Sinn Fein
5,49867,11,Emmet,Doyle,2000,0,0,Excluded,8,Aontu
5,19640,11,Mark H.,Durkan,7999,0,7811,Elected,1,Social Democratic and Labour Party
5,84454,11,Ciara,Ferguson,5913,0,7811,Elected,9,Sinn Fein
5,50319,11,Rachael,Ferguson,2220,0,0,Excluded,7,Alliance Party
5,95164,11,Gillian,Hamilton,215,0,0,Excluded,2,Green Party
5,35060,11,Shaun,Harkin,2621,231.3,4264.2,Excluded,11,People Before Profit Alliance
5,11862,11,Anne,McCloskey,854,0,0,Excluded,6,Independent
5,69196,11,Ryan,McCready,3744,42.9,4325.9,,,Ulster Unionist Party
5,84772,11,Colly,McLaughlin,766,0,0,Excluded,5,Irish Republican Socialist Party
5,49549,11,Sinéad,McLaughlin,2189,3058.2,7490.4,,,Social Democratic and Labour Party
